Month	Day	Year	Title	Assetbar
10	01	2001	Philippe is standing on it	uua243gbF
10	02	2001	T&eacute;odor's birthday presents	uua62zf2z
10	03	2001	The new catalog has arrived	uua8Xpg5d
10	04	2001	Who ate my 'shrooms?	uua1kdR3Q
10	05	2001	A call to Modemtown	uua7sMJtb
10	08	2001	Someone is at the door	uua9Nbvb7
10	09	2001	Achewood ca. 1902	uua2X3bBv
10	10	2001	Bedtime	uuads0Kgc
10	11	2001	Philippe has a Walkman	uuac4jk41
10	12	2001	Lie Bot	uua1l5TtK
10	15	2001	Philippe's mouth	uuaff71RZ
10	16	2001	The backyard gig	uuaPGCPJd
10	17	2001	T&eacute;odor in the chat room	uuagcvZRf
10	18	2001	Guest-starring Lyle	uuabFd1mV
10	19	2001	That's how the Internet works	uua4p9x4m
10	22	2001	Liquor Cabinet Taste Test	uua7V4wZP
10	23	2001	A Curious Therapy	uuabxq9WV
10	24	2001	Lie Bot redux -	uua5vSBQw
10	25	2001	The miniature golf hole	uua1D5MbL
10	26	2001	A discussion on AIDS	uua6cxDRP
10	29	2001	The Web Designer	uua8vvB27
10	30	2001	Lie Bot's Shoes	uua8BJwnX
10	31	2001	Halloween	uuacCLkkD
11	01	2001	A question of female anatomy	uuadpsgJv
11	02	2001	Sick in bed all day	uuab6XpG6
11	05	2001	Lie Bot, what is the saddest thing	uuafdPxPq
11	06	2001	Ordering a pizza	uua1VJWzs
11	07	2001	Orange creamsicle alcohol drink	uua7bVZfM
11	08	2001	Poker	uuacQsT4X
11	09	2001	Antiques Road Show	uua3QXD0R
11	12	2001	The Humans Show	uua6Z8gJb
11	13	2001	He is strange in his sleep	uua90blWG
11	14	2001	Todd the Squirrel	uuaZTWVtR
11	15	2001	International relations primer	uuagd52pF
11	16	2001	T&eacute;odor has met a girl!	uua69TZPH
11	19	2001	Scrabble	uuadFzv4S
11	20	2001	Todd the Squirrel: Prayers	uuadGQhWT
11	21	2001	Todd's new van	uua9HH6r1
11	22	2001	A terrible Thanksgiving	uuacz20DR
11	23	2001	Closure	uua3dGbl4
11	26	2001	Three's company	uuaLjW1mw
11	27	2001	Replacement Characters	uua77C6LB
11	28	2001	Kisses	uuad5KC8w
11	29	2001	Penny_in_a_fountain	uuafRfk0l
11	30	2001	Starting the old car	uua8PV0jX
12	03	2001	I'm deformed	uua1wgRqR
12	04	2001	Silk Robe	uua93Rbv8
12	05	2001	A change of operating systems	uua1mCj5T
12	06	2001	Todd; open mic nite	uua5RHtx0
12	07	2001	Cutlery ads; bourbon	uuad7hBg1
12	10	2001	Bloopers and outtakes	uua1GhzrH
12	11	2001	Dreams of good people	uuazd21JX
12	12	2001	I am too drunk to drive	uua3Wr9pc
12	13	2001	Gearbox Symphony	uua2RrN84
12	14	2001	An issue of cussing	uuab1gV8m
12	17	2001	Mousse/She's getting closer	uuafjxC40
12	18	2001	A dangerously good haircut	uua1NB52d
12	19	2001	Waiting for Penny	uua5Tq1pg
12	20	2001	Lyle's pensive morning moment	uua94vfTv
12	21	2001	YOUR&nbsp;&nbsp;OLD&nbsp;&nbsp;FRIEND&nbsp;&nbsp;BLISTER	uua5kk3ZH
12	24	2001	The Afterlife	uua9bdL4V
12	25	2001	Merry Christmas With Teodor	uua16W4N8
12	26	2001	The unfinished strip	uuabDwXC5
12	27	2001	Belated Christmas strip	uuadZxKCv
12	28	2001	Old home movies	uuabvK6QD
12	31	2001	New Years' Eve with Mr. Bear	uua62hp2m
01	02	2002	I Love My Fat Son	uua1Nv8nV
01	03	2002	There is a snake in the yard	uua3kGZJL
01	04	2002	Hand-held fan	uuafck8vW
01	07	2002	We attempt a knock-knock joke!	uuadt4Njd
